Date,Sales,Expenses,Profit,Region
2023-01-01,1000,800,200,North
2023-01-02,1500,900,600,South
2023-01-03,2000,1000,1000,East
2023-01-04,1300,850,450,West
2023-01-05,1700,950,750,North
2023-01-06,1600,920,680,South
2023-01-07,1800,980,820,East
2023-01-08,1900,1050,850,West
2023-01-09,2100,1100,1000,North
2023-01-10,2200,1150,1050,South
2023-01-11,2300,1200,1100,East
2023-01-12,2400,1250,1150,West
2023-01-13,2500,1300,1200,North
2023-01-14,2600,1350,1250,South
2023-01-15,2700,1400,1300,East
